id,name,category,description,tags
"sol8twce1y","Severe Bleeding","symptoms","Patient experiences severe  bleeding in the affected region.","bleeding;symptom;severe"
"t35yvbbz37","Spinal Process","terms","A clinical term referring to spinal process.","term;medical;clinical"
"s28nkq6k1s","Dull Redness","symptoms","Patient experiences dull  redness in the affected region.","redness;symptom;dull"
"sy9gm9nove","Worsening Lumbar Chills","symptoms","Patient experiences worsening  chills in the lumbar  region.","chills;symptom;lumbar;worsening"
"sat25z64pp","Localized Discharge","symptoms","Patient experiences localized  discharge in the affected region.","discharge;symptom;localized"
"sisirswfj1","Ocular Nausea","symptoms","Patient experiences  nausea in the ocular  region.","nausea;symptom;ocular"
"mjyqzyexx6","Sertapro Injection","medicines","A pharmacological agent prescribed for various therapeutic indications, available as injection.","pro;injection;medicine;treatment"
"dy31nwoa0l","Genetic oculoemia","diseases","A genetic  medical condition characterized by inflammation or abnormal state of the oculo system.","oculo;emia;disease;genetic"
"mu5z0oublg","Durabuterol Inhaler","medicines","A pharmacological agent prescribed for various therapeutic indications, available as inhaler.","buterol;inhaler;medicine;treatment"
"tgahsegejm","Gastric Factor","terms","A clinical term referring to gastric factor.","term;medical;clinical"
"t63x9sk0iw","Factor Primary","terms","A clinical term referring to factor primary.","term;medical;clinical"
"twq5izxnrr","Autoimmune Factor","terms","A clinical term referring to autoimmune factor.","term;medical;clinical"
"teqfpwk3vh","Pathway Syndrome","terms","A clinical term referring to pathway syndrome.","term;medical;clinical"
"svalj9u4xk","Mild Oral Pain","symptoms","Patient experiences mild  pain in the oral  region.","pain;symptom;oral;mild"
"tpxkrxjws2","Factor Ocular","terms","A clinical term referring to factor ocular.","term;medical;clinical"
"djx7tot7t9","Genetic phlebomalacia","diseases","A genetic  medical condition characterized by inflammation or abnormal state of the phlebo system.","phlebo;malacia;disease;genetic"
"sdo2evcxch","Moderate Pelvic Tremors","symptoms","Patient experiences moderate  tremors in the pelvic  region.","tremors;symptom;pelvic;moderate"
"mzrnrugpj3","Citamycin Cream","medicines","A pharmacological agent prescribed for various therapeutic indications, available as cream.","mycin;cream;medicine;treatment"
"ttmbprj3ay","Process Acute","terms","A clinical term referring to process acute.","term;medical;clinical"
"s2097exxdh","Sudden Tingling","symptoms","Patient experiences sudden  tingling in the affected region.","tingling;symptom;sudden"
"s9eo9ulzd1","Sharp Cardiac Bleeding","symptoms","Patient experiences sharp  bleeding in the cardiac  region.","bleeding;symptom;cardiac;sharp"
"mkjwu8k8pf","Ketostatin Suspension","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suspension.","statin;suspension;medicine;treatment"
"sbvcekvx41","Worsening Oral Fever","symptoms","Patient experiences worsening  fever in the oral  region.","fever;symptom;oral;worsening"
"tqpvw1xy24","Syndrome Factor","terms","A clinical term referring to syndrome factor.","term;medical;clinical"
"mg2losjr55","Fluocillin Injection","medicines","A pharmacological agent prescribed for various therapeutic indications, available as injection.","cillin;injection;medicine;treatment"
"d7ka0xkzmn","Neurorrhea","diseases","A general medical condition characterized by inflammation or abnormal state of the neuro system.","neuro;rrhea;disease"
"t5gxt185or","Idiopathic Pathway","terms","A clinical term referring to idiopathic pathway.","term;medical;clinical"
"tybp5024eh","Process Factor","terms","A clinical term referring to process factor.","term;medical;clinical"
"dkhghdztdr","Arteriooma","diseases","A general medical condition characterized by inflammation or abnormal state of the arterio system.","arterio;oma;disease"
"sjmo94ut2z","Constant Weakness","symptoms","Patient experiences constant  weakness in the affected region.","weakness;symptom;constant"
"d18lelq8fm","Gastropathy","diseases","A general medical condition characterized by inflammation or abnormal state of the gastro system.","gastro;pathy;disease"
"s474p7eqs9","Radiating Cerebral Weakness","symptoms","Patient experiences radiating  weakness in the cerebral  region.","weakness;symptom;cerebral;radiating"
"dx9ih0kcgi","Malignant oculoplegia","diseases","A malignant  medical condition characterized by inflammation or abnormal state of the oculo system.","oculo;plegia;disease;malignant"
"sy7o3s6och","Worsening Tingling","symptoms","Patient experiences worsening  tingling in the affected region.","tingling;symptom;worsening"
"shfe22x90h","Radiating Dermal Swelling","symptoms","Patient experiences radiating  swelling in the dermal  region.","swelling;symptom;dermal;radiating"
"t0zgseytt3","Primary Process","terms","A clinical term referring to primary process.","term;medical;clinical"
"menhedgnnv","Simazepam Patch","medicines","A pharmacological agent prescribed for various therapeutic indications, available as patch.","zepam;patch;medicine;treatment"
"to71ysbusj","Pathway Pathway","terms","A clinical term referring to pathway pathway.","term;medical;clinical"
"sa61wrdc7g","Sudden Bleeding","symptoms","Patient experiences sudden  bleeding in the affected region.","bleeding;symptom;sudden"
"s0tezo8kuc","Redness","symptoms","Patient experiences  redness in the affected region.","redness;symptom"
"spohmlebtc","Radiating Burning","symptoms","Patient experiences radiating  burning in the affected region.","burning;symptom;radiating"
"mfqnyz6uzz","Citasartan Solution","medicines","A pharmacological agent prescribed for various therapeutic indications, available as solution.","sartan;solution;medicine;treatment"
"sdwfv5afzq","Pain","symptoms","Patient experiences  pain in the affected region.","pain;symptom"
"difdh26nae","Autoimmune dermaoma","diseases","A autoimmune  medical condition characterized by inflammation or abnormal state of the derma system.","derma;oma;disease;autoimmune"
"msatfq38ry","Albutidine Syrup","medicines","A pharmacological agent prescribed for various therapeutic indications, available as syrup.","tidine;syrup;medicine;treatment"
"stpzmvu5os","Gastric Tingling","symptoms","Patient experiences  tingling in the gastric  region.","tingling;symptom;gastric"
"s7m8j0wb4e","Improving Ocular Spasms","symptoms","Patient experiences improving  spasms in the ocular  region.","spasms;symptom;ocular;improving"
"tzvi8nb299","Lumbar Factor","terms","A clinical term referring to lumbar factor.","term;medical;clinical"
"mmxa09izv4","Duraprazole Tablets","medicines","A pharmacological agent prescribed for various therapeutic indications, available as tablets.","prazole;tablets;medicine;treatment"
"t4vdpbipfb","Autoimmune Pathway","terms","A clinical term referring to autoimmune pathway.","term;medical;clinical"
"sdzxn8txvl","Improving Pulmonary Discharge","symptoms","Patient experiences improving  discharge in the pulmonary  region.","discharge;symptom;pulmonary;improving"
"d5xmsgq2yr","Secondary dermarrhea","diseases","A secondary  medical condition characterized by inflammation or abnormal state of the derma system.","derma;rrhea;disease;secondary"
"tn7an7dxc4","Factor Syndrome","terms","A clinical term referring to factor syndrome.","term;medical;clinical"
"sc57kqjjvl","Radiating Chills","symptoms","Patient experiences radiating  chills in the affected region.","chills;symptom;radiating"
"sw6xt6b41w","Gradual Lumbar Tremors","symptoms","Patient experiences gradual  tremors in the lumbar  region.","tremors;symptom;lumbar;gradual"
"tw64ot0ljc","Syndrome Idiopathic","terms","A clinical term referring to syndrome idiopathic.","term;medical;clinical"
"te8on0y2kk","Pelvic Syndrome","terms","A clinical term referring to pelvic syndrome.","term;medical;clinical"
"dwfcfgouce","Nephrooma","diseases","A general medical condition characterized by inflammation or abnormal state of the nephro system.","nephro;oma;disease"
"tm0ftb0ace","Gastric Syndrome","terms","A clinical term referring to gastric syndrome.","term;medical;clinical"
"tdvzndawya","Congenital Pathway","terms","A clinical term referring to congenital pathway.","term;medical;clinical"
"dhv7o4mvcq","Dermarrhea","diseases","A general medical condition characterized by inflammation or abnormal state of the derma system.","derma;rrhea;disease"
"sh5egbly09","Sharp Weakness","symptoms","Patient experiences sharp  weakness in the affected region.","weakness;symptom;sharp"
"mz386vha5u","Loxafloxin Suspension","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suspension.","floxin;suspension;medicine;treatment"
"dxkzats1dj","Stomatooma","diseases","A general medical condition characterized by inflammation or abnormal state of the stomato system.","stomato;oma;disease"
"t1it6w0cvq","Factor Pathway","terms","A clinical term referring to factor pathway.","term;medical;clinical"
"s87kgatzcj","Localized Nausea","symptoms","Patient experiences localized  nausea in the affected region.","nausea;symptom;localized"
"t4hm8vglq8","Syndrome Syndrome","terms","A clinical term referring to syndrome syndrome.","term;medical;clinical"
"m45xw2w8sd","Albustatin Suppository","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suppository.","statin;suppository;medicine;treatment"
"mpp53598kp","Cefaazole Injection","medicines","A pharmacological agent prescribed for various therapeutic indications, available as injection.","azole;injection;medicine;treatment"
"mbufnn5lj6","Gabatidine Patch","medicines","A pharmacological agent prescribed for various therapeutic indications, available as patch.","tidine;patch;medicine;treatment"
"sal1zd0965","Sudden Pulmonary Tremors","symptoms","Patient experiences sudden  tremors in the pulmonary  region.","tremors;symptom;pulmonary;sudden"
"spdvj3e8qr","Throbbing Soreness","symptoms","Patient experiences throbbing  soreness in the affected region.","soreness;symptom;throbbing"
"so9nccx7df","Intermittent Nasal Tremors","symptoms","Patient experiences intermittent  tremors in the nasal  region.","tremors;symptom;nasal;intermittent"
"mpyf618i8o","Levafloxin Inhaler","medicines","A pharmacological agent prescribed for various therapeutic indications, available as inhaler.","floxin;inhaler;medicine;treatment"
"dh4oi3jaog","Acquired neuroosis","diseases","A acquired  medical condition characterized by inflammation or abnormal state of the neuro system.","neuro;osis;disease;acquired"
"ddqavjsygr","Cardiopenia","diseases","A general medical condition characterized by inflammation or abnormal state of the cardio system.","cardio;penia;disease"
"tlxxhuny6d","Cervical Syndrome","terms","A clinical term referring to cervical syndrome.","term;medical;clinical"
"dsell6vchg","Gastroplegia","diseases","A general medical condition characterized by inflammation or abnormal state of the gastro system.","gastro;plegia;disease"
"dp9nd2wc83","Choleitis","diseases","A general medical condition characterized by inflammation or abnormal state of the chole system.","chole;itis;disease"
"s15b7n4kqo","Mild Inflammation","symptoms","Patient experiences mild  inflammation in the affected region.","inflammation;symptom;mild"
"skyh4u8rl0","Sudden Aural Inflammation","symptoms","Patient experiences sudden  inflammation in the aural  region.","inflammation;symptom;aural;sudden"
"sqzf2i0lgh","Sudden Lumbar Spasms","symptoms","Patient experiences sudden  spasms in the lumbar  region.","spasms;symptom;lumbar;sudden"
"tautxpo2hb","Syndrome Acquired","terms","A clinical term referring to syndrome acquired.","term;medical;clinical"
"sioh2zu1s4","Intermittent Dermal Cramping","symptoms","Patient experiences intermittent  cramping in the dermal  region.","cramping;symptom;dermal;intermittent"
"s5cya6skiz","Throbbing Cervical Fever","symptoms","Patient experiences throbbing  fever in the cervical  region.","fever;symptom;cervical;throbbing"
"soi6ojgqaz","Localized Tremors","symptoms","Patient experiences localized  tremors in the affected region.","tremors;symptom;localized"
"m3z1yl4bpw","Levavir Suspension","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suspension.","vir;suspension;medicine;treatment"
"mexxz1kyvg","Ketoglinide Capsules","medicines","A pharmacological agent prescribed for various therapeutic indications, available as capsules.","glinide;capsules;medicine;treatment"
"t29tbakrp7","Process Oral","terms","A clinical term referring to process oral.","term;medical;clinical"
"m0dwdcns22","Albustatin Tablets","medicines","A pharmacological agent prescribed for various therapeutic indications, available as tablets.","statin;tablets;medicine;treatment"
"meen8agxxo","Duraglinide Ointment","medicines","A pharmacological agent prescribed for various therapeutic indications, available as ointment.","glinide;ointment;medicine;treatment"
"mmuy7cchpp","Lisimab Syrup","medicines","A pharmacological agent prescribed for various therapeutic indications, available as syrup.","mab;syrup;medicine;treatment"
"ddzja9yd7v","Acute dermapenia","diseases","A acute  medical condition characterized by inflammation or abnormal state of the derma system.","derma;penia;disease;acute"
"dgi8orn1mp","Genetic pulmosclerosis","diseases","A genetic  medical condition characterized by inflammation or abnormal state of the pulmo system.","pulmo;sclerosis;disease;genetic"
"dyk20qzp6q","Fungal endosthenia","diseases","A fungal  medical condition characterized by inflammation or abnormal state of the endo system.","endo;sthenia;disease;fungal"
"s2u30434lq","Lumbar Nausea","symptoms","Patient experiences  nausea in the lumbar  region.","nausea;symptom;lumbar"
"s9ph283244","Worsening Hepatic Spasms","symptoms","Patient experiences worsening  spasms in the hepatic  region.","spasms;symptom;hepatic;worsening"
"mg5o5aygvn","Albucycline Cream","medicines","A pharmacological agent prescribed for various therapeutic indications, available as cream.","cycline;cream;medicine;treatment"
"ss15ysl9fl","Worsening Dermal Tenderness","symptoms","Patient experiences worsening  tenderness in the dermal  region.","tenderness;symptom;dermal;worsening"
"m7dp5ozjur","Simasartan Gel","medicines","A pharmacological agent prescribed for various therapeutic indications, available as gel.","sartan;gel;medicine;treatment"
"staxu6m22i","Gradual Dermal Pain","symptoms","Patient experiences gradual  pain in the dermal  region.","pain;symptom;dermal;gradual"
"d0k6exnfdg","Bacterial gastroitis","diseases","A bacterial  medical condition characterized by inflammation or abnormal state of the gastro system.","gastro;itis;disease;bacterial"
"m4fhu21g5y","Levaxetine Solution","medicines","A pharmacological agent prescribed for various therapeutic indications, available as solution.","xetine;solution;medicine;treatment"
"d8onbnnpie","Congenital nephropathy","diseases","A congenital  medical condition characterized by inflammation or abnormal state of the nephro system.","nephro;pathy;disease;congenital"
"m458102k96","Levamycin Suppository","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suppository.","mycin;suppository;medicine;treatment"
"msnu3cdx39","Duracillin Suppository","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suppository.","cillin;suppository;medicine;treatment"
"dpvph9k1fx","Myelomalacia","diseases","A general medical condition characterized by inflammation or abnormal state of the myelo system.","myelo;malacia;disease"
"td6rbfgj1f","Process Process","terms","A clinical term referring to process process.","term;medical;clinical"
"d4v7mb0wi1","Myelosclerosis","diseases","A general medical condition characterized by inflammation or abnormal state of the myelo system.","myelo;sclerosis;disease"
"de7j8v2lue","Congenital endotrophy","diseases","A congenital  medical condition characterized by inflammation or abnormal state of the endo system.","endo;trophy;disease;congenital"
"m9m986xqgs","Epistatin Injection","medicines","A pharmacological agent prescribed for various therapeutic indications, available as injection.","statin;injection;medicine;treatment"
"sccevwdtlu","Moderate Gastric Chills","symptoms","Patient experiences moderate  chills in the gastric  region.","chills;symptom;gastric;moderate"
"ddsbz6cb8t","Fungal endoemia","diseases","A fungal  medical condition characterized by inflammation or abnormal state of the endo system.","endo;emia;disease;fungal"
"drw186ahle","Nephropathy","diseases","A general medical condition characterized by inflammation or abnormal state of the nephro system.","nephro;pathy;disease"
"dyrbciuj9m","Hepatosthenia","diseases","A general medical condition characterized by inflammation or abnormal state of the hepato system.","hepato;sthenia;disease"
"mdp75alb79","Albulol Drops","medicines","A pharmacological agent prescribed for various therapeutic indications, available as drops.","lol;drops;medicine;treatment"
"d1ebhpm2bt","Arteriotrophy","diseases","A general medical condition characterized by inflammation or abnormal state of the arterio system.","arterio;trophy;disease"
"sb8dkum3nl","Gradual Soreness","symptoms","Patient experiences gradual  soreness in the affected region.","soreness;symptom;gradual"
"mf412sjd25","Epifloxin Gel","medicines","A pharmacological agent prescribed for various therapeutic indications, available as gel.","floxin;gel;medicine;treatment"
"tdxd4gd9ag","Ocular Process","terms","A clinical term referring to ocular process.","term;medical;clinical"
"s8hj05335c","Aural Pain","symptoms","Patient experiences  pain in the aural  region.","pain;symptom;aural"
"t4enpqgeo6","Renal Renal","terms","A clinical term referring to renal renal.","term;medical;clinical"
"s6qb5k3cx6","Stiffness","symptoms","Patient experiences  stiffness in the affected region.","stiffness;symptom"
"mldxh9c44c","Albudipine Cream","medicines","A pharmacological agent prescribed for various therapeutic indications, available as cream.","dipine;cream;medicine;treatment"
"sxd18eid88","Spinal Bleeding","symptoms","Patient experiences  bleeding in the spinal  region.","bleeding;symptom;spinal"
"dma4p8m7gm","Localized gastroosis","diseases","A localized  medical condition characterized by inflammation or abnormal state of the gastro system.","gastro;osis;disease;localized"
"s4w6lj4yzt","Radiating Renal Soreness","symptoms","Patient experiences radiating  soreness in the renal  region.","soreness;symptom;renal;radiating"
"m6o4v5n63g","Sertastatin Suppository","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suppository.","statin;suppository;medicine;treatment"
"d9no0oalvs","Congenital dermapenia","diseases","A congenital  medical condition characterized by inflammation or abnormal state of the derma system.","derma;penia;disease;congenital"
"djks483ejl","Acquired encephalooma","diseases","A acquired  medical condition characterized by inflammation or abnormal state of the encephalo system.","encephalo;oma;disease;acquired"
"dpn3reiv9v","Acquired neuroplasia","diseases","A acquired  medical condition characterized by inflammation or abnormal state of the neuro system.","neuro;plasia;disease;acquired"
"muwkogfotm","Sertastatin Injection","medicines","A pharmacological agent prescribed for various therapeutic indications, available as injection.","statin;injection;medicine;treatment"
"th0241w7yc","Secondary Factor","terms","A clinical term referring to secondary factor.","term;medical;clinical"
"tnw1xcrxgd","Syndrome Lumbar","terms","A clinical term referring to syndrome lumbar.","term;medical;clinical"
"swgx46kbk5","Dull Fatigue","symptoms","Patient experiences dull  fatigue in the affected region.","fatigue;symptom;dull"
"drpa7ibgcx","Genetic osteoosis","diseases","A genetic  medical condition characterized by inflammation or abnormal state of the osteo system.","osteo;osis;disease;genetic"
"dhb5dg9jte","Malignant myelooma","diseases","A malignant  medical condition characterized by inflammation or abnormal state of the myelo system.","myelo;oma;disease;malignant"
"dnio1d2ckc","Encephalospasm","diseases","A general medical condition characterized by inflammation or abnormal state of the encephalo system.","encephalo;spasm;disease"
"da981mt2a7","Lymphorrhea","diseases","A general medical condition characterized by inflammation or abnormal state of the lympho system.","lympho;rrhea;disease"
"m6rsv9yc01","Epixetine Capsules","medicines","A pharmacological agent prescribed for various therapeutic indications, available as capsules.","xetine;capsules;medicine;treatment"
"t2rtr5xq3e","Process Pathway","terms","A clinical term referring to process pathway.","term;medical;clinical"
"ty6udz2bmq","Factor Thoracic","terms","A clinical term referring to factor thoracic.","term;medical;clinical"
"dyiid4s2rc","Acute arterioosis","diseases","A acute  medical condition characterized by inflammation or abnormal state of the arterio system.","arterio;osis;disease;acute"
"d60ftnybx6","Chronic osteoemia","diseases","A chronic  medical condition characterized by inflammation or abnormal state of the osteo system.","osteo;emia;disease;chronic"
"tq0x0k9uf9","Gastric Process","terms","A clinical term referring to gastric process.","term;medical;clinical"
"mk2mmiac7e","Amixetine Suspension","medicines","A pharmacological agent prescribed for various therapeutic indications, available as suspension.","xetine;suspension;medicine;treatment"
"dgme5fw6cb","Rhinoalgia","diseases","A general medical condition characterized by inflammation or abnormal state of the rhino system.","rhino;algia;disease"
"mbsbfghzfw","Ibucillin Syrup","medicines","A pharmacological agent prescribed for various therapeutic indications, available as syrup.","cillin;syrup;medicine;treatment"
"dfn8ju135r","Gnathitis","diseases","A general medical condition characterized by inflammation or abnormal state of the gnath system.","gnath;itis;disease"
"tt8o2t8655","Primary Factor","terms","A clinical term referring to primary factor.","term;medical;clinical"
"so8x6x2qfe","Constant Hepatic Weakness","symptoms","Patient experiences constant  weakness in the hepatic  region.","weakness;symptom;hepatic;constant"
"tftjindulc","Factor Nasal","terms","A clinical term referring to factor nasal.","term;medical;clinical"
"dtfy27q11g","Otomegaly","diseases","A general medical condition characterized by inflammation or abnormal state of the oto system.","oto;megaly;disease"
"sb6ofzz1vz","Gradual Lumbar Discharge","symptoms","Patient experiences gradual  discharge in the lumbar  region.","discharge;symptom;lumbar;gradual"
"mai5t8ifya","Levamycin Inhaler","medicines","A pharmacological agent prescribed for various therapeutic indications, available as inhaler.","mycin;inhaler;medicine;treatment"
"ty702p1pm3","Dermal Syndrome","terms","A clinical term referring to dermal syndrome.","term;medical;clinical"
"td1nvmtc5e","Benign Process","terms","A clinical term referring to benign process.","term;medical;clinical"
"dhmpn0ey8k","Arterioplasia","diseases","A general medical condition characterized by inflammation or abnormal state of the arterio system.","arterio;plasia;disease"
"mkujxwbm6q","Bupabuterol Capsules","medicines","A pharmacological agent prescribed for various therapeutic indications, available as capsules.","buterol;capsules;medicine;treatment"
"sv781719c4","Mild Numbness","symptoms","Patient experiences mild  numbness in the affected region.","numbness;symptom;mild"
"sl0zs3bzg4","Lumbar Tremors","symptoms","Patient experiences  tremors in the lumbar  region.","tremors;symptom;lumbar"
"dc6rvrworc","Nephroitis","diseases","A general medical condition characterized by inflammation or abnormal state of the nephro system.","nephro;itis;disease"
"sogev6g7hs","Ocular Spasms","symptoms","Patient experiences  spasms in the ocular  region.","spasms;symptom;ocular"
"dbp42awodd","Phlebopathy","diseases","A general medical condition characterized by inflammation or abnormal state of the phlebo system.","phlebo;pathy;disease"
"sawno9l3mj","Dermal Tremors","symptoms","Patient experiences  tremors in the dermal  region.","tremors;symptom;dermal"
"dcy4p87is5","Osteoosis","diseases","A general medical condition characterized by inflammation or abnormal state of the osteo system.","osteo;osis;disease"
"se0rapdleg","Localized Cardiac Pain","symptoms","Patient experiences localized  pain in the cardiac  region.","pain;symptom;cardiac;localized"
"t3sj1ac501","Process Gastric","terms","A clinical term referring to process gastric.","term;medical;clinical"
"s35329kb7m","Ocular Burning","symptoms","Patient experiences  burning in the ocular  region.","burning;symptom;ocular"
"mqfyg9buyk","Albusartan Patch","medicines","A pharmacological agent prescribed for various therapeutic indications, available as patch.","sartan;patch;medicine;treatment"
"m2ou6rrdrm","Loxanib Inhaler","medicines","A pharmacological agent prescribed for various therapeutic indications, available as inhaler.","nib;inhaler;medicine;treatment"
"tu8uh7c9xw","Factor Secondary","terms","A clinical term referring to factor secondary.","term;medical;clinical"
"s1qmszj1ia","Throbbing Pelvic Soreness","symptoms","Patient experiences throbbing  soreness in the pelvic  region.","soreness;symptom;pelvic;throbbing"
"sgx594py3v","Oral Chills","symptoms","Patient experiences  chills in the oral  region.","chills;symptom;oral"
"dgd2dke3hb","Endomalacia","diseases","A general medical condition characterized by inflammation or abnormal state of the endo system.","endo;malacia;disease"
"d7cc41lazy","Viral gnathtrophy","diseases","A viral  medical condition characterized by inflammation or abnormal state of the gnath system.","gnath;trophy;disease;viral"
"sumk6216yu","Gradual Nausea","symptoms","Patient experiences gradual  nausea in the affected region.","nausea;symptom;gradual"
"dnof4399o4","Otopathy","diseases","A general medical condition characterized by inflammation or abnormal state of the oto system.","oto;pathy;disease"
"dac8bclhw4","Primary myopenia","diseases","A primary  medical condition characterized by inflammation or abnormal state of the myo system.","myo;penia;disease;primary"
"sahb9l2o7q","Cardiac Pain","symptoms","Patient experiences  pain in the cardiac  region.","pain;symptom;cardiac"
"djuvp4oj25","Idiopathic ototrophy","diseases","A idiopathic  medical condition characterized by inflammation or abnormal state of the oto system.","oto;trophy;disease;idiopathic"
"sd3deislis","Soreness","symptoms","Patient experiences  soreness in the affected region.","soreness;symptom"
"mjg9306m00","Fluoglinide Ointment","medicines","A pharmacological agent prescribed for various therapeutic indications, available as ointment.","glinide;ointment;medicine;treatment"
"mylfnz342j","Simazepam Powder","medicines","A pharmacological agent prescribed for various therapeutic indications, available as powder.","zepam;powder;medicine;treatment"
"d8lwlf215e","Cholemalacia","diseases","A general medical condition characterized by inflammation or abnormal state of the chole system.","chole;malacia;disease"
"maz690tzdw","Duraprazole Patch","medicines","A pharmacological agent prescribed for various therapeutic indications, available as patch.","prazole;patch;medicine;treatment"
"dhjqr9qcc6","Neuroemia","diseases","A general medical condition characterized by inflammation or abnormal state of the neuro system.","neuro;emia;disease"
"m836n41a93","Ibucillin Injection","medicines","A pharmacological agent prescribed for various therapeutic indications, available as injection.","cillin;injection;medicine;treatment"
"dzh5cdz3xg","Localized arteriooma","diseases","A localized  medical condition characterized by inflammation or abnormal state of the arterio system.","arterio;oma;disease;localized"
"sd1lg3d56s","Dermal Fever","symptoms","Patient experiences  fever in the dermal  region.","fever;symptom;dermal"
"thqvwyik4h","Hepatic Hepatic","terms","A clinical term referring to hepatic hepatic.","term;medical;clinical"
