Disease,Category,Symptoms,Common_Medications,Severity,Contagious,Specialist,Precautions
Hepatitis B,Infectious/Liver,Jaundice; fatigue; dark urine; joint pain,Antivirals (Tenofovir; Entecavir),Chronic,Yes,Hepatologist,Vaccination; safe practices
Hepatitis C,Infectious/Liver,Fatigue; jaundice; abdominal pain; often asymptomatic early,Direct-acting antivirals (Sofosbuvir combinations),Chronic,Yes,Hepatologist,Avoid blood exposure; screening
Cirrhosis,Liver,Jaundice; fatigue; swelling; easy bruising,Diuretics; Lactulose; Liver transplant (severe),Severe,No,Hepatologist,Avoid alcohol; manage cause
Gallstones,Gastrointestinal,Abdominal pain; nausea; bloating after meals,Ursodeoxycholic acid; Surgery (cholecystectomy),Moderate,No,Gastroenterologist/Surgeon,Healthy diet; weight management
Appendicitis,Gastrointestinal,Sudden abdominal pain; fever; nausea; loss of appetite,Antibiotics; Surgery (appendectomy),Emergency,No,General Surgeon,Immediate medical attention
Constipation,Gastrointestinal,Infrequent bowel movements; straining; hard stools,Laxatives; Fiber supplements,Mild,No,General Physician,Fiber-rich diet; hydration
Celiac Disease,Gastrointestinal/Autoimmune,Diarrhea; bloating; weight loss; fatigue,Gluten-free diet (no specific drug),Chronic,No,Gastroenterologist,Strict gluten avoidance
Crohn's Disease,Gastrointestinal/Autoimmune,Abdominal pain; diarrhea; weight loss; fatigue,Aminosalicylates; Corticosteroids; Immunosuppressants,Chronic,No,Gastroenterologist,Diet management; regular monitoring
Ulcerative Colitis,Gastrointestinal/Autoimmune,Bloody diarrhea; abdominal pain; urgency,Aminosalicylates; Corticosteroids; Biologics,Chronic,No,Gastroenterologist,Regular monitoring; diet
Urinary Tract Infection (UTI),Genitourinary/Infectious,Burning urination; frequent urge; cloudy urine; pelvic pain,Antibiotics (Nitrofurantoin; Ciprofloxacin),Mild-Moderate,No,Urologist/General Physician,Hydration; hygiene
Kidney Stones,Genitourinary,Severe flank pain; blood in urine; nausea,Pain relievers; Alpha-blockers; Surgery (if large),Moderate-Severe,No,Urologist,Hydration; dietary changes
Chronic Kidney Disease,Genitourinary,Fatigue; swelling; reduced urine output; nausea,ACE inhibitors; Phosphate binders; Dialysis (advanced),Chronic/Severe,No,Nephrologist,BP/sugar control; low-salt diet
Benign Prostatic Hyperplasia,Genitourinary,Difficulty urinating; frequent urination; weak stream,Alpha-blockers; 5-alpha reductase inhibitors,Chronic,No,Urologist,Regular check-ups
Erectile Dysfunction,Genitourinary,Difficulty achieving/maintaining erection,PDE5 inhibitors (Sildenafil; Tadalafil),Variable,No,Urologist,Lifestyle changes; manage underlying causes
Eczema (Atopic Dermatitis),Dermatological,Itchy dry skin; redness; rash; inflammation,Topical corticosteroids; Moisturizers; Antihistamines,Mild-Moderate,No,Dermatologist,Moisturize; avoid irritants
Psoriasis,Dermatological/Autoimmune,Red scaly patches; itching; skin plaques,Topical corticosteroids; Vitamin D analogs; Biologics,Chronic,No,Dermatologist,Avoid triggers; skin care
Acne Vulgaris,Dermatological,Pimples; blackheads; oily skin; scarring,Benzoyl peroxide; Topical retinoids; Antibiotics,Mild-Moderate,No,Dermatologist,Skin hygiene; avoid picking
Fungal Skin Infection (Tinea),Dermatological/Infectious,Itchy red ring-shaped rash; scaling,Antifungal creams (Clotrimazole); Oral antifungals,Mild,Yes,Dermatologist,Keep skin dry; hygiene
Urticaria (Hives),Dermatological/Allergy,Itchy raised welts; redness; swelling,Antihistamines; Corticosteroids (severe cases),Mild-Moderate,No,Dermatologist/Allergist,Identify and avoid triggers
Chickenpox,Infectious/Dermatological,Itchy blisters; fever; fatigue,Antihistamines; Calamine lotion; Antivirals (severe),Mild-Moderate,Yes,General Physician,Vaccination; isolation
Measles,Infectious,Fever; rash; cough; runny nose; red eyes,Supportive care; Vitamin A,Moderate,Yes,General Physician,Vaccination (MMR)
Chikungunya,Infectious/Viral,Joint pain; fever; rash; headache,Analgesics; NSAIDs; Supportive care,Moderate,Yes (via mosquito),General Physician,Mosquito control
Dengue Fever,Infectious/Viral,High fever; severe headache; joint pain; rash; low platelets,Paracetamol; Fluid management (avoid NSAIDs),Moderate-Severe,Yes (via mosquito),General Physician,Mosquito control; hydration
Malaria,Infectious/Parasitic,Fever; chills; sweating; headache; fatigue,Artemisinin-based therapy; Chloroquine,Moderate-Severe,Yes (via mosquito),General Physician/Infectious Disease,Mosquito nets; prophylaxis
Typhoid Fever,Infectious/Bacterial,Prolonged fever; abdominal pain; weakness; headache,Ciprofloxacin; Azithromycin; Ceftriaxone,Moderate-Severe,Yes,General Physician,Vaccination; safe water/food
Cholera,Infectious/Bacterial,Severe watery diarrhea; dehydration; vomiting,Oral rehydration salts; Antibiotics (Doxycycline),Severe,Yes,General Physician,Clean water/sanitation
Rheumatoid Arthritis,Musculoskeletal/Autoimmune,Joint pain; swelling; stiffness; fatigue,DMARDs (Methotrexate); NSAIDs; Biologics,Chronic,No,Rheumatologist,Physiotherapy; joint protection
Osteoarthritis,Musculoskeletal,Joint pain; stiffness; reduced range of motion,NSAIDs; Analgesics; Physical therapy,Chronic,No,Orthopedist/Rheumatologist,Weight management; exercise
Osteoporosis,Musculoskeletal,Bone fragility; fractures; back pain; height loss,Calcium/Vitamin D; Bisphosphonates,Chronic,No,Orthopedist/Endocrinologist,Weight-bearing exercise; calcium intake
Gout,Musculoskeletal,Sudden joint pain (often big toe); swelling; redness,NSAIDs; Colchicine; Allopurinol,Moderate,No,Rheumatologist,Diet modification; limit alcohol/purines
Fibromyalgia,Musculoskeletal,Widespread pain; fatigue; sleep issues; tenderness,Pregabalin; Duloxetine; Analgesics,Chronic,No,Rheumatologist,Exercise; stress management
Low Back Pain,Musculoskeletal,Pain in lower back; stiffness; limited mobility,NSAIDs; Muscle relaxants; Physical therapy,Mild-Moderate,No,Orthopedist,Posture correction; exercise
Depression,Mental Health,Persistent sadness; loss of interest; fatigue; sleep changes,SSRIs; SNRIs; Psychotherapy,Moderate-Severe,No,Psychiatrist,Therapy; social support
Anxiety Disorder,Mental Health,Excessive worry; restlessness; rapid heartbeat; sweating,SSRIs; Benzodiazepines (short-term); Psychotherapy,Moderate,No,Psychiatrist,Relaxation techniques; therapy
Bipolar Disorder,Mental Health,Mood swings; mania; depression; impulsivity,Mood stabilizers (Lithium); Antipsychotics,Chronic,No,Psychiatrist,Medication adherence; routine
Schizophrenia,Mental Health,Hallucinations; delusions; disorganized thinking,Antipsychotics (Risperidone; Olanzapine),Chronic,No,Psychiatrist,Medication adherence; support
Obsessive-Compulsive Disorder (OCD),Mental Health,Intrusive thoughts; repetitive behaviors; anxiety,SSRIs; Cognitive Behavioral Therapy,Moderate-Severe,No,Psychiatrist,Therapy; support groups
Insomnia,Mental Health/Sleep,Difficulty falling/staying asleep; daytime fatigue,Sleep hygiene measures; short-term hypnotics,Mild-Moderate,No,General Physician/Sleep Specialist,Sleep hygiene; routine
Attention-Deficit Hyperactivity Disorder (ADHD),Mental Health/Neurodevelopmental,Inattention; hyperactivity; impulsivity,Methylphenidate; Amphetamines; Behavioral therapy,Chronic,No,Psychiatrist,Structured routine; therapy
Anemia (Iron Deficiency),Hematological,Fatigue; pallor; weakness; shortness of breath,Iron supplements; Dietary changes,Mild-Moderate,No,Hematologist/General Physician,Iron-rich diet
Sickle Cell Anemia,Hematological/Genetic,Fatigue; pain crises; jaundice; swelling,Hydroxyurea; Pain management; Blood transfusions,Chronic,No,Hematologist,Hydration; avoid triggers
Thalassemia,Hematological/Genetic,Fatigue; pale skin; growth delays; bone deformities,Blood transfusions; Iron chelation therapy,Chronic,No,Hematologist,Regular transfusions/monitoring
Leukemia,Oncological/Hematological,Fatigue; frequent infections; easy bruising; weight loss,Chemotherapy; Targeted therapy; Bone marrow transplant,Severe,No,Oncologist/Hematologist,Regular monitoring; infection prevention
Hemophilia,Hematological/Genetic,Excessive bleeding; joint pain/swelling; easy bruising,Clotting factor replacement therapy,Chronic,No,Hematologist,Avoid injury; factor replacement
Breast Cancer,Oncological,Breast lump; skin changes; nipple discharge,Chemotherapy; Hormone therapy; Surgery; Radiation,Severe,No,Oncologist,Regular screening (mammography)
Lung Cancer,Oncological,Persistent cough; chest pain; weight loss; hemoptysis,Chemotherapy; Radiation; Targeted therapy; Surgery,Severe,No,Oncologist,Avoid smoking
Colorectal Cancer,Oncological,Blood in stool; abdominal pain; weight loss; bowel changes,Chemotherapy; Surgery; Radiation,Severe,No,Oncologist,Screening (colonoscopy); diet
Cervical Cancer,Oncological,Abnormal bleeding; pelvic pain; discharge,Surgery; Chemotherapy; Radiation,Severe,No,Oncologist/Gynecologist,HPV vaccination; Pap smear screening
Prostate Cancer,Oncological,Urinary difficulty; blood in urine; pelvic discomfort,Hormone therapy; Radiation; Surgery,Severe,No,Oncologist/Urologist,Regular screening (PSA test)
Skin Cancer (Melanoma),Oncological/Dermatological,New/changing mole; irregular borders; color changes,Surgery; Immunotherapy; Targeted therapy,Severe,No,Oncologist/Dermatologist,Sun protection; skin checks
Conjunctivitis,Ophthalmological,Red eyes; itching; discharge; tearing,Antibiotic eye drops; Antihistamine drops,Mild,Yes,Ophthalmologist,Hand hygiene; avoid sharing towels
Cataract,Ophthalmological,Blurred vision; glare sensitivity; faded colors,Surgery (lens replacement),Chronic,No,Ophthalmologist,Regular eye exams
Glaucoma,Ophthalmological,Gradual vision loss; eye pain; halos around lights,Prostaglandin analogs; Beta-blockers (eye drops),Chronic,No,Ophthalmologist,Regular eye pressure checks
Otitis Media (Ear Infection),ENT,Ear pain; fever; hearing difficulty; irritability,Antibiotics; Analgesics,Mild-Moderate,No,ENT Specialist,Avoid water in ears; hygiene
Tonsillitis,ENT,Sore throat; difficulty swallowing; fever; swollen tonsils,Antibiotics (if bacterial); Analgesics,Mild-Moderate,Yes,ENT Specialist,Hygiene; avoid contact with infected
Malnutrition,Nutritional,Weight loss; fatigue; weakened immunity; growth delay,Nutritional supplementation; Dietary correction,Variable,No,Dietitian/General Physician,Balanced diet
Vitamin D Deficiency,Nutritional,Bone pain; muscle weakness; fatigue,Vitamin D supplements,Mild-Moderate,No,General Physician,Sun exposure; diet
Vitamin B12 Deficiency,Nutritional,Fatigue; numbness; memory issues; pale skin,Vitamin B12 supplements/injections,Mild-Moderate,No,General Physician,Balanced diet; supplementation
Rickets,Nutritional,Bone deformities; delayed growth; bone pain,Vitamin D and Calcium supplements,Moderate,No,Pediatrician,Adequate sun exposure; diet
Chronic Fatigue Syndrome,Systemic,Persistent fatigue; muscle pain; sleep problems; brain fog,Symptom management; Graded exercise therapy,Chronic,No,General Physician,Pacing activity; rest
Lupus (SLE),Autoimmune,Joint pain; skin rash; fatigue; fever,Corticosteroids; Antimalarials; Immunosuppressants,Chronic,No,Rheumatologist,Sun protection; regular monitoring
HIV/AIDS,Infectious/Immunological,Fatigue; weight loss; recurrent infections; fever,Antiretroviral therapy (ART),Chronic,Yes,Infectious Disease Specialist,Safe practices; ART adherence
Post-Viral Reactive Arthritis,Musculoskeletal/Infectious,Persistent joint pain post-infection; swelling,NSAIDs; Physiotherapy,Chronic,No,Rheumatologist,Physiotherapy; pain management
Food Poisoning,Gastrointestinal/Infectious,Vomiting; diarrhea; abdominal cramps; fever,Oral rehydration; Antiemetics; Antibiotics (if bacterial),Mild-Moderate,No,General Physician,Food safety; hygiene
